,From,To,Time,Distance,Avg Speed,Altitude From,Altitude To,Slope,Slope %,Slope Angle,Bus Stop,Final Stop,Zone Type,Green Zone
0,"(41.406344732009714, 2.162297526795132)","(41.40794375283994, 2.160791166530652)",35.9,217.7,6.064066852367687,60.41600036621094,69.07700347900389,0.0397841208672162,3.9784120867216215,0.0397631509904715,1,0,0,0
1,"(41.40794375283994, 2.160791166530652)","(41.408512, 2.160148)",102.4,466.0,4.55078125,69.07700347900389,73.29100036621094,0.0090429117751223,0.9042911775122384,0.0090426652947628,1,0,0,0
2,"(41.408512, 2.160148)","(41.40980414353249, 2.159030980339344)",15.5,171.7,11.077419354838709,73.29100036621094,82.58799743652344,0.0541467505551106,5.414675055511067,0.0540939263596429,0,0,0,0
3,"(41.40980414353249, 2.159030980339344)","(41.411349015147906, 2.1597702270746546)",33.2,274.2,8.259036144578312,82.58799743652344,95.37200164794922,0.046622918349474,4.662291834947403,0.0465891809810504,1,0,0,0
4,"(41.411349015147906, 2.1597702270746546)","(41.412597, 2.159619)",36.1,195.2,5.407202216066481,95.37200164794922,105.10299682617188,0.0498514097245013,4.9851409724501305,0.0498101748983824,1,0,0,0
5,"(41.412597, 2.159619)","(41.41319175197646, 2.160759101470614)",12.1,115.7,9.56198347107438,105.10299682617188,111.8949966430664,0.0587035420647755,5.870354206477555,0.0586362482777201,0,0,0,0
6,"(41.41319175197646, 2.160759101470614)","(41.413713, 2.160513)",21.6,101.4,4.6944444444444455,111.8949966430664,115.2519989013672,0.0331065311469505,3.3106531146950493,0.0330944437076277,1,0,0,0
7,"(41.413713, 2.160513)","(41.41446575780107, 2.1585317824969246)",44.6,186.0,4.170403587443946,115.2519989013672,124.35700225830078,0.0489516309512558,4.8951630951255884,0.0489125867581269,0,0,0,0
8,"(41.41446575780107, 2.1585317824969246)","(41.41399252367734, 2.157728408914357)",57.2,238.5,4.169580419580419,124.35700225830078,122.30599975585938,-0.008599591205205,-0.8599591205205058,-0.0085993792261772,1,0,0,0
9,"(41.41399252367734, 2.157728408914357)","(41.41309764975491, 2.15874265116962)",31.8,132.4,4.163522012578617,122.30599975585938,109.22200012207033,-0.0988217494999174,-9.88217494999174,-0.0985019322591555,1,0,0,0
10,"(41.41309764975491, 2.15874265116962)","(41.412265, 2.158356)",30.3,126.3,4.1683168316831685,109.22200012207033,106.0469970703125,-0.0251385831493096,-2.5138583149309683,-0.0251332897274452,1,0,0,0
11,"(41.412265, 2.158356)","(41.41173952269354, 2.157135970732588)",39.6,144.6,3.651515151515152,106.0469970703125,98.5009994506836,-0.0521853224040726,-5.2185322404072645,-0.0521380274261814,0,0,0,0
12,"(41.41173952269354, 2.157135970732588)","(41.41206493549708, 2.1555718782316062)",41.0,150.6,3.673170731707317,98.5009994506836,104.59700012207033,0.0404780921074815,4.047809210748153,0.040456006355589,1,0,0,0
13,"(41.41206493549708, 2.1555718782316062)","(41.41300197201338, 2.1543686727269042)",132.0,151.0,1.143939393939394,104.59700012207033,116.16000366210938,0.0765761823843646,7.6576182384364655,0.076427028152584,1,0,0,0
14,"(41.41300197201338, 2.1543686727269042)","(41.413343901305275, 2.1529584729955187)",137.0,157.0,1.1459854014598538,116.16000366210938,130.34599304199222,0.0903566202540306,9.035662025403065,0.0901119177525581,1,0,0,0
15,"(41.413343901305275, 2.1529584729955187)","(41.412381829854425, 2.153859813111516)",125.0,142.0,1.136,130.34599304199222,120.15399932861328,-0.0717746036153444,-7.1774603615344414,-0.0716517319839838,1,0,0,0
16,"(41.412381829854425, 2.153859813111516)","(41.41095274387516, 2.1556770565389787)",194.0,220.0,1.134020618556701,120.15399932861328,101.52100372314452,-0.0846954345703125,-8.46954345703125,-0.0844937860313999,1,0,1,0
17,"(41.41095274387516, 2.1556770565389787)","(41.410346378724924, 2.15488171081855)",29.3,121.9,4.160409556313994,101.52100372314452,100.34200286865234,-0.0096718691918965,-0.9671869191896532,-0.0096715676236482,1,0,1,0
18,"(41.410346378724924, 2.15488171081855)","(41.409596, 2.154999)",26.3,109.7,4.171102661596958,100.34200286865234,92.24500274658205,-0.073810393090887,-7.381039309088707,-0.0736767905004854,1,0,0,0
19,"(41.409596, 2.154999)","(41.40839685780212, 2.1559667267985456)",55.2,214.7,3.889492753623188,92.24500274658205,79.73200225830078,-0.0582813250502154,-5.828132505021544,-0.0582154709022199,0,0,0,0
20,"(41.40839685780212, 2.1559667267985456)","(41.40700850493933, 2.153413156639098)",63.1,263.1,4.169572107765451,79.73200225830078,80.28700256347656,0.0021094652420212,0.2109465242021213,0.0021094621130994,1,0,0,0
21,"(41.40700850493933, 2.153413156639098)","(41.405766, 2.151119)",56.7,236.1,4.164021164021164,80.28700256347656,79.71600341796875,-0.0024184631321804,-0.2418463132180485,-0.0024184584170291,1,0,0,0
22,"(41.405766, 2.151119)","(41.40617556695725, 2.1500790408951804)",30.8,132.8,4.311688311688313,79.71600341796875,80.53299713134766,0.0061520610947206,0.6152061094720679,0.0061519834823762,0,0,0,0
23,"(41.40617556695725, 2.1500790408951804)","(41.40696, 2.149904)",27.6,126.6,4.58695652173913,80.53299713134766,86.16000366210938,0.0444471289949582,4.444712899495828,0.0444178945047438,1,0,0,0
24,"(41.40696, 2.149904)","(41.407329, 2.149954)",81.7,373.7,4.574051407588739,86.16000366210938,89.00800323486328,0.0076210852896813,0.7621085289681312,0.0076209377482212,0,0,0,0
25,"(41.407329, 2.149954)","(41.40895386226306, 2.150857992694304)",59.5,262.1,4.405042016806723,89.00800323486328,101.0719985961914,0.0460282158005651,4.6028215800565135,0.0459957519826289,0,0,0,0
26,"(41.40895386226306, 2.150857992694304)","(41.41006824739315, 2.1514942288130894)",47.6,198.2,4.163865546218487,101.0719985961914,119.41899871826172,0.092568113633049,9.256811363304902,0.0923050638011571,1,0,0,0
27,"(41.41006824739315, 2.1514942288130894)","(41.410661220995294, 2.1514077305056194)",29.2,121.7,4.167808219178083,119.41899871826172,126.5979995727539,0.0589893250163696,5.898932501636965,0.0589210450040386,1,0,0,0
28,"(41.410661220995294, 2.1514077305056194)","(41.41223859226077, 2.1497380978351615)",55.4,230.8,4.166064981949459,126.5979995727539,148.66400146484375,0.0956065939865244,9.560659398652446,0.0953168800260367,1,0,0,0
29,"(41.41223859226077, 2.1497380978351615)","(41.412929736858345, 2.1493106385083838)",26.2,109.0,4.1603053435114505,148.66400146484375,152.6510009765625,0.0365779771717316,3.657797717173165,0.0365616771060726,1,0,0,0
30,"(41.412929736858345, 2.1493106385083838)","(41.412099302710715, 2.1503245446054584)",35.6,148.5,4.171348314606742,152.6510009765625,160.73300170898438,0.0544242473563762,5.442424735637625,0.0543706078023504,1,1,0,0
31,"(41.412099302710715, 2.1503245446054584)","(41.411466356661464, 2.151488672817834)",33.0,137.6,4.16969696969697,160.73300170898438,149.98599243164062,-0.0781032650969749,-7.810326509697492,-0.0779450307466042,1,0,0,0
32,"(41.411466356661464, 2.151488672817834)","(41.411182685115904, 2.151865367289008)",40.9,170.5,4.168704156479218,149.98599243164062,136.33799743652344,-0.0800468914669629,-8.004689146696299,-0.0798765788085643,1,0,0,0
33,"(41.411182685115904, 2.151865367289008)","(41.41053523492428, 2.150595571807219)",36.2,150.7,4.162983425414364,136.33799743652344,124.9020004272461,-0.0758858461133201,-7.588584611332013,-0.0757406803900015,1,0,0,0
34,"(41.41053523492428, 2.150595571807219)","(41.40926809894137, 2.1515485900026845)",40.4,168.2,4.163366336633663,124.9020004272461,105.0250015258789,-0.1181747853826824,-11.817478538268244,-0.1176292347471444,1,0,0,0
